year,month,count
2002,1,160432
2002,2,141685
2002,3,145216
2002,4,147375
2002,5,161235
2002,6,129610
2002,7,159150
2002,8,142578
2002,9,147739
2002,10,162938
2002,11,154144
2002,12,122963
2003,1,164306
2003,2,145938
2003,3,158172
2003,4,154769
2003,5,150294
2003,6,156096
2003,7,167402
2003,8,146107
2003,9,163962
2003,10,174461
2003,11,153742
2003,12,137227
2004,1,167236
2004,2,158482
2004,3,179038
2004,4,155728
2004,5,147349
2004,6,159180
2004,7,158226
2004,8,145726
2004,9,156418
2004,10,150234
2004,11,159601
2004,12,126510
2005,1,150061
2005,2,142525
2005,3,147927
2005,4,155110
2005,5,141900
2005,6,154500
2005,7,144062
2005,8,144944
2005,9,151226
2005,10,145029
2005,11,152495
2005,12,118281
2006,1,148861
2006,2,138346
2006,3,157935
2006,4,125036
2006,5,140509
2006,6,140918
2006,7,133083
2006,8,137640
2006,9,137745
2006,10,143670
2006,11,145290
2006,12,106952
2007,1,142115
2007,2,130248
2007,3,145635
2007,4,129132
2007,5,137033
2007,6,137612
2007,7,140771
2007,8,138155
2007,9,130503
2007,10,142857
2007,11,140774
2007,12,106755
2008,1,150301
2008,2,135732
2008,3,128107
2008,4,139412
2008,5,125644
2008,6,136017
2008,7,140849
2008,8,119558
2008,9,136519
2008,10,141256
2008,11,126165
2008,12,126443
2009,1,144399
2009,2,132988
2009,3,151927
2009,4,143991
2009,5,129390
2009,6,148668
2009,7,154350
2009,8,134157
2009,9,149079
2009,10,145742
2009,11,143159
2009,12,123862
