Code,Court,Age,Disposal,Legislation,Comments,Type
15,C,Under 18,Detained,SS.90 & 92(1) Powers of Criminal Courts (Sentencing) Act 2000,Add disposal 695 (life sentence tariff),custodial sentence
20,C,18 to 20,Custody for life,SS.93 & 94(1) Powers of Criminal Courts (Sentencing) Act 2000,Add disposal 695 (life sentence tariff),custodial sentence
22,C,21 and over,Life sentence for second listed offence,"S.224A Criminal Justice Act 2003. Inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012",,custodial sentence
23,C,21 and over,Mandatory life sentences for second serious offence,S.109 Powers of Criminal Courts (Sentencing) Act 2000,,custodial sentence
24,C,18 and over,Imprisonment for public protection,S. 225 Criminal Justice Act 2003,Show minimum term of custody. EP should read INIMP,custodial sentence
25,M & C,21 and over,Imprisonment without option of fine - effective* (including consecutive sentence),,"Show length of sentence in years, months, weeks or days. If 1 day use Disposal 110 for Magistrates' Courts and 350 for Crown Courts",custodial sentence
26,C,21 and over,Min. 7 years for third class A drug trafficking offence (S.110); min. 3 years for third domestic burglary (S.111),SS.110 & 111 Powers of Criminal Courts (Sentencing) Act 2000,,custodial sentence
27,C,18 and over,Custodial term of sentence with extended licence for sexual or violent offenders,S.227 Criminal Justice Act 2003,Show length of custodial term in years or months. EP should show CUSTEX or DOF. Enter disposal 210 as the 2nd disposal and record the length of the extended licence period,custodial sentence
28,C,18 and over,Extended Determinate Sentence (discretionary release),"S.226A Criminal Justice Act 2003. Inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012",Show length of custodial term in years or months. Enter disposal 210 as the 2nd disposal and record the length of the extended licence period,custodial sentence
29,C,18 and over,"Extended Determinate Sentence (automatic release)","S.226A Criminal Justice Act 2003. Inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012",Show length of custodial term in years or months. Enter disposal 210 as the 2nd disposal and record the length of the extended licence period,custodial sentence
31,C,18 to 20,Mandatory life sentences for second serious offence,S.109 Powers of Criminal Courts (Sentencing) Act 2000,Add disposal 695 (life sentence tariff),custodial sentence
32,C,Under 21,"Life sentence for second listed offence","S.224A Criminal Justice Act 2003. inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012",,custodial sentence
33,C,18 to 20,Min.7 years for third class A drug trafficking offence (S.110); min. of 3 years for third domestic burglary (S.111),SS.110 and 111 Powers of Criminal Courts (Sentencing) Act 2000,,custodial sentence
34,C,Under 18,Imprisonment for public protection,S.226 Criminal Justice Act 2003,Show minimum term of custody. EP should read INIMP,custodial sentence
35,M & C,21 and over,Imprisonment without option of fine - non-effective/concurrent*,,"Show length of sentence in years, months, weeks or days",custodial sentence
37,C,Under 18,Extended Public Protection Sentence - Custody with extended licence for sexual or violent offenders,S.228 Criminal Justice Act 2003,Show length of custodial term in years or months. EP should show CUSTEX or DOF. Enter disposal 210 as the 2nd disposal and record the length of the extended licence period,custodial sentence
38,C,Under 18,"Extended Determinate Sentence (discretionary release)","S.226B Criminal Justice Act 2003. Inserted by Legal Aid, entencing and Punishment of Offenders Act 2012",Show length of custodial term in years or months. Enter disposal 210 as the 2nd disposal and record the length of the extended licence period,custodial sentence
39,C,Under 18,"Extended Determinate Sentence (automatic release)","S.226B Criminal Justice Act 2003. Inserted by Legal Aid, entencing and Punishment of Offenders Act 2012",Show length of custodial term in years or months. Enter disposal 210 as the 2nd disposal and record the length of the extended licence period,custodial sentence
45,C,,Detained,SS.91(1) & 92(3) Powers of Criminal Courts (Sentencing) Act 2000,"Show length of sentence in years, months, weeks or days",custodial sentence
50,C,,Restriction Order,S.41 Mental Health Act 1983,,custodial sentence
60,M & C,21 and over,Suspended sentence of imprisonment (Custody minus) - effective/consecutive: min.14 weeks; max.12 months,S.189 Criminal Justice Act 2003,Show length of custodial sentence in weeks or months. Enter disposal 208 as the 2nd disposal and record the licence period,suspended sentence order
61,M & C,18 to 20,Suspended sentence of imprisonment (Custody minus) - effective/consecutive: min.14 weeks; max.12 months,S.189 Criminal Justice Act 2003,Show length of custodial sentence in weeks or months. Enter disposal 208 as the 2nd disposal and record the licence period,suspended sentence order
62,M & C,21 and over,Suspended sentence of imprisonment (Custody minus) - non-effective/concurrent: aggregate max. 65 weeks,S.189 Criminal Justice Act 2003,Show length of custodial sentence in weeks or months. Enter disposal 208 as the 2nd disposal and record the licence period,suspended sentence order
