Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
10814,Abandonment of Animals Act 1960,S.1,Abandonment of animals / CJS: AA60002+,3 months or L5 or both,-,108/14,108/14,-,-,108/14,No,2009 or earlier
19599,Abortion Act 1967,,Failure to comply with regulations,L5,-,195/99,195/99,-,-,195/99,No,2009 or earlier
15901,Access to Justice Act 1999 ,S.20(5),Restriction of disclosure of information / CJS: AJ99001,L4,-,159/01,159/01,-,-,159/01,No,2009 or earlier
15902,Access to Justice Act 1999 ,S.21(1)&(2) / S.94,Misrepresentations - making statement or representation known to be false / CJS: AJ99002 / See Magistrates' Courts Act 1980 S.125C,3 months or L4,-,159/02,159/02,-,-,159/02,No,2009 or earlier
9551,Access to Justice Act 1999 / added by / Criminal Justice and Immigration Act 2008,Sch 3 P.7(2) / S.57,Without authority disclosing or using information / CJS: AJ99003,12 months [6 months] or L5 or both ,S 95/51,S 95/51,S 95/51,2 years,S 95/51,S 95/51,Yes,2010
19455,Accession (Immigration and Worker Authorisation) Regulations 2006,R.12(1) & (6),Employing Accession State national subject to worker authorisation in accession period not holder of authorisation document / CJS: IM06001,L5,-,194/55,194/55,-,-,194/55,No,2009 or earlier
19456,Accession (Immigration and Worker Authorisation) Regulations 2006,R.13(1) & (2),Accession State national subject to worker authorisation working in UK during accession period / CJS: IM06002,L5,-,194/56,194/56,-,-,194/56,No,2009 or earlier
19457,Accession (Immigration and Worker Authorisation) Regulations 2006,R.14,Obtaining or seeking to obtain an accession worker card by means including deception / CJS: IM06003,3 months or L5 or both,-,194/57,194/57,-,-,194/57,No,2009 or earlier
19599,Accommodation Agencies Act 1953,,The taking of certain commissions dealing with letting of houses and flats / CJS:,3 months or L3 or both,-,195/99,195/99,-,-,195/99,No,2009 or earlier
9934,Activity Centres (Young Persons Safety) Act 1995 ,S.2(1)(a),Failure to possess a licence or to obey conditions of licence / CJS: AC95001,L5,S 99/34,S 99/34,S 99/34,2 years or fine or both,S 99/34,S 99/34,Yes,2009 or earlier
9935,Activity Centres (Young Persons Safety) Act 1995 ,S.2(1)(b),Making statement to the licensing authority (or someone acting on their behalf) which is false in a material particular / CJS: AC9500,L5,S 99/35,S 99/35,S 99/35,Fine,S 99/35,S 99/35,Yes,2009 or earlier
19599,Administration of Justice Act 1970 ,S.40(1),Harassment of debtors / CJS: AD70001,L5,-,195/99,195/99,-,-,195/99,No,2009 or earlier
9802,Adoption Act 1976,,TEW offences / CJS: AD76005,6 months or L5 or both,S 98/02,S 98/02,S 98/02,12 months,S 98/02,S 98/02,Yes,2009 or earlier
19628,Adoption Act 1976,,Summary offences / CJS: AD76001-4 & 6-7,6 months or L5 or both,-,196/28,196/28,-,-,196/28,No,2009 or earlier
9803,Adoption and Children Act 2002,,TEW offences / CJS: AC02014-16,6 months or L5 or both,S 98/03,S 98/03,S 98/03,12 months,S 98/03,S 98/03,Yes,2009 or earlier
19629,Adoption and Children Act 2002,,Summary offences / CJS: AC02001-13 & 17-21,"6 months or £10,000 or both",-,196/29,196/29,-,-,196/29,No,2009 or earlier
5313,Agricultural Credits Act 1928,S.11(1),Frauds by farmers relating to agricultural charges / CJS: AG28001-3,6 months or prescribed sum or both,S 53/13,S 53/13,S 53/13,3 years,S 53/13,S 53/13,Yes,2009 or earlier
9999,Agricultural Marketing Act 1958,SS.6(6) & 47(3),Contravening sales of regulated products or disclosing information / CJS: AG58001-2,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Agriculture Act 1967 ,S.6(8),Misrepresentation of systems of classification of carcasses / CJS: AG67001,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
